Row ID;Order ID;Order Date;Shipping Date;Shipping Mode;Customer ID;Customer Name;Segment;Country/Region;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
224;CA-2018-169397;20/10/2019;23/10/2019;Express;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;TEC-MA-10001148;Technology;Machines;Swingline SM12-08 MicroCut Jam Free Shredder;479988;4;7;-3839904
225;CA-2018-169397;20/10/2019;23/10/2019;Express;JB-15925;Joni Blumstein;Consumer;United States;Dublin;Ohio;43017;East;OFF-AR-10001958;Office Supplies;Art;Stanley Bostitch Contemporary Electric Pencil Sharpeners;27168;2;2;27168
253;CA-2019-146941;05/10/2020;08/10/2020;Express;DL-13315;Delfina Latchford;Consumer;United States;New York City;New York;10024;East;OFF-ST-10001228;Office Supplies;Storage;Fellowes Personal Hanging Folder Files, Navy;8058;6;0;225624
254;CA-2019-146941;05/10/2020;08/10/2020;Express;DL-13315;Delfina Latchford;Consumer;United States;New York City;New York;10024;East;OFF-EN-10003296;Office Supplies;Envelopes;Tyvek Side-Opening Peel & Seel Expanding Envelopes;36192;4;0;162864
272;CA-2018-155334;26/05/2019;27/05/2019;Express;HA-14920;Helen Andreada;Consumer;United States;San Francisco;California;94109;West;TEC-AC-10003628;Technology;Accessories;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;20993;7;0;923692
273;CA-2018-155334;26/05/2019;27/05/2019;Express;HA-14920;Helen Andreada;Consumer;United States;San Francisco;California;94109;West;FUR-FU-10003274;Furniture;Furnishings;Regeneration Desk Collection;528;3;0;23232
274;CA-2018-155334;26/05/2019;27/05/2019;Express;HA-14920;Helen Andreada;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002557;Office Supplies;Binders;Presstex Flexible Ring Binders;1092;3;2;4095
275;CA-2020-118136;13/07/2021;14/07/2021;Express;BB-10990;Barry Blumstein;Corporate;United States;Inglewood;California;90301;West;OFF-PA-10002615;Office Supplies;Paper;"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";882;2;0;40572
276;CA-2020-118136;13/07/2021;14/07/2021;Express;BB-10990;Barry Blumstein;Corporate;United States;Inglewood;California;90301;West;OFF-AR-10001427;Office Supplies;Art;Newell 330;598;1;0;15548
294;CA-2017-111451;22/10/2018;24/10/2018;Express;KL-16555;Kelly Lampkin;Corporate;United States;Colorado Springs;Colorado;80906;West;FUR-FU-10004091;Furniture;Furnishings;"Howard Miller 13"" Diameter Goldtone Round Wall Clock";300416;8;2;788592
295;CA-2017-111451;22/10/2018;24/10/2018;Express;KL-16555;Kelly Lampkin;Corporate;United States;Colorado Springs;Colorado;80906;West;FUR-CH-10001891;Furniture;Chairs;Global Deluxe Office Fabric Chairs;230352;3;2;201558
296;CA-2017-111451;22/10/2018;24/10/2018;Express;KL-16555;Kelly Lampkin;Corporate;United States;Colorado Springs;Colorado;80906;West;FUR-FU-10002918;Furniture;Furnishings;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;218352;3;2;-245646
297;CA-2017-111451;22/10/2018;24/10/2018;Express;KL-16555;Kelly Lampkin;Corporate;United States;Colorado Springs;Colorado;80906;West;OFF-BI-10004593;Office Supplies;Binders;Ibico Laser Imprintable Binding System Covers;786;5;7;-6288
298;CA-2017-111451;22/10/2018;24/10/2018;Express;KL-16555;Kelly Lampkin;Corporate;United States;Colorado Springs;Colorado;80906;West;OFF-FA-10004854;Office Supplies;Fasteners;Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box;27552;3;2;92988
309;CA-2020-126774;09/02/2021;11/02/2021;Express;SH-20395;Shahid Hopkins;Consumer;United States;Arlington;Virginia;22204;South;OFF-AR-10002804;Office Supplies;Art;Faber Castell Col-Erase Pencils;489;1;0;20049
317;CA-2017-164259;24/10/2018;26/10/2018;Express;SP-20860;Sung Pak;Corporate;United States;Philadelphia;Pennsylvania;19143;East;OFF-AR-10003373;Office Supplies;Art;Boston School Pro Electric Pencil Sharpener, 1670;99136;4;2;86744
327;US-2019-141544;25/06/2020;27/06/2020;Express;PO-18850;Patrick O'Brill;Consumer;United States;Philadelphia;Pennsylvania;19143;East;TEC-PH-10003645;Technology;Phones;Aastra 57i VoIP phone;290898;3;4;-678762
328;US-2019-141544;25/06/2020;27/06/2020;Express;PO-18850;Patrick O'Brill;Consumer;United States;Philadelphia;Pennsylvania;19143;East;OFF-ST-10000675;Office Supplies;Storage;File Shuttle II and Handi-File, Black;54224;2;2;3389
329;US-2019-141544;25/06/2020;27/06/2020;Express;PO-18850;Patrick O'Brill;Consumer;United States;Philadelphia;Pennsylvania;19143;East;FUR-CH-10003312;Furniture;Chairs;Hon 2090 ?Pillow Soft? Series Mid Back Swivel/Tilt Chairs;786744;4;3;-2585016
330;US-2019-141544;25/06/2020;27/06/2020;Express;PO-18850;Patrick O'Brill;Consumer;United States;Philadelphia;Pennsylvania;19143;East;OFF-LA-10001074;Office Supplies;Labels;Round Specialty Laser Printer Labels;10024;10;2;33831
331;US-2019-141544;25/06/2020;27/06/2020;Express;PO-18850;Patrick O'Brill;Consumer;United States;Philadelphia;Pennsylvania;19143;East;OFF-BI-10001524;Office Supplies;Binders;GBC Premium Transparent Covers with Diagonal Lined Pattern;37764;6;7;-276936
350;CA-2019-129714;27/06/2020;29/06/2020;Express;AB-10060;Adam Bellavance;Home Office;United States;New York City;New York;10009;East;TEC-AC-10000290;Technology;Accessories;Sabrent 4-Port USB 2.0 Hub;679;1;0;23086
351;CA-2019-129714;27/06/2020;29/06/2020;Express;AB-10060;Adam Bellavance;Home Office;United States;New York City;New York;10009;East;OFF-PA-10001970;Office Supplies;Paper;Xerox 1881;2456;2;0;115432
352;CA-2019-129714;27/06/2020;29/06/2020;Express;AB-10060;Adam Bellavance;Home Office;United States;New York City;New York;10009;East;OFF-BI-10002160;Office Supplies;Binders;Acco Hanging Data Binders;3048;1;2;10668
353;CA-2019-129714;27/06/2020;29/06/2020;Express;AB-10060;Adam Bellavance;Home Office;United States;New York City;New York;10009;East;OFF-PA-10001970;Office Supplies;Paper;Xerox 1881;4912;4;0;230864
354;CA-2019-129714;27/06/2020;29/06/2020;Express;AB-10060;Adam Bellavance;Home Office;United States;New York City;New York;10009;East;OFF-BI-10004995;Office Supplies;Binders;GBC DocuBind P400 Electric Binding System;4355168;4;2;14154296
360;CA-2020-155698;02/01/2021;05/01/2021;Express;VB-21745;Victoria Brennan;Corporate;United States;Columbus;Georgia;31907;South;OFF-AP-10001124;Office Supplies;Appliances;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;64784;8;0;1684384
361;CA-2020-155698;02/01/2021;05/01/2021;Express;VB-21745;Victoria Brennan;Corporate;United States;Columbus;Georgia;31907;South;OFF-LA-10001158;Office Supplies;Labels;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";207;2;0;9936
377;US-2019-134656;24/07/2020;27/07/2020;Express;MM-18280;Muhammed MacIntyre;Corporate;United States;Quincy;Illinois;62301;Central;OFF-PA-10003039;Office Supplies;Paper;Xerox 1960;99136;4;2;3098
382;CA-2019-134775;23/08/2020;24/08/2020;Express;AS-10285;Alejandro Savely;Corporate;United States;San Francisco;California;94109;West;OFF-PA-10004734;Office Supplies;Paper;Southworth Structures Collection;5096;7;0;2548
383;CA-2019-134775;23/08/2020;24/08/2020;Express;AS-10285;Alejandro Savely;Corporate;United States;San Francisco;California;94109;West;OFF-BI-10002225;Office Supplies;Binders;"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""";49536;3;2;173376
389;CA-2017-115973;20/09/2018;22/09/2018;Express;NG-18430;Nathan Gelder;Consumer;United States;Cincinnati;Ohio;45231;East;OFF-AR-10004757;Office Supplies;Art;Crayola Colored Pencils;2624;1;2;4264
403;CA-2017-113166;20/10/2018;22/10/2018;Express;LF-17185;Luke Foster;Consumer;United States;Miami;Florida;33180;South;OFF-PA-10001947;Office Supplies;Paper;Xerox 1974;9568;2;2;34684
422;CA-2017-142048;18/04/2018;21/04/2018;Express;JE-15745;Joel Eaton;Consumer;United States;Louisville;Colorado;80027;West;TEC-AC-10004114;Technology;Accessories;KeyTronic˜6101 Series -˜Keyboard˜- Black;196752;6;2;565662
428;CA-2017-101476;09/07/2018;10/07/2018;Express;SD-20485;Shirley Daniels;Home Office;United States;New Rochelle;New York;10801;East;TEC-MA-10000029;Technology;Machines;Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner;6999;1;0;300957
434;CA-2019-127369;01/04/2020;02/04/2020;Express;DB-13060;Dave Brooks;Consumer;United States;Lowell;Massachusetts;1852;East;OFF-ST-10003306;Office Supplies;Storage;Letter Size Cart;7143;5;0;207147
485;CA-2020-140963;06/04/2021;09/04/2021;Express;MT-18070;Michelle Tran;Home Office;United States;Los Angeles;California;90045;West;OFF-LA-10003923;Office Supplies;Labels;Alphabetical Labels for Top Tab Filing;296;2;0;148
486;CA-2020-140963;06/04/2021;09/04/2021;Express;MT-18070;Michelle Tran;Home Office;United States;Los Angeles;California;90045;West;FUR-BO-10001337;Furniture;Bookcases;O'Sullivan Living Dimensions 2-Shelf Bookcases;514165;5;15;-30245
487;CA-2020-140963;06/04/2021;09/04/2021;Express;MT-18070;Michelle Tran;Home Office;United States;Los Angeles;California;90045;West;TEC-PH-10001924;Technology;Phones;iHome FM Clock Radio with Lightning Dock;27996;5;2;174975
488;CA-2017-154627;25/08/2018;27/08/2018;Express;SA-20830;Sue Ann Reed;Consumer;United States;Chicago;Illinois;60610;Central;TEC-PH-10001363;Technology;Phones;Apple iPhone 5S;2735952;6;2;341994
511;CA-2020-135307;22/09/2021;23/09/2021;Express;LS-17245;Lynn Smith;Consumer;United States;Gladstone;Missouri;64118;Central;FUR-FU-10001290;Furniture;Furnishings;Executive Impressions Supervisor Wall Clock;1263;3;0;40416
512;CA-2020-135307;22/09/2021;23/09/2021;Express;LS-17245;Lynn Smith;Consumer;United States;Gladstone;Missouri;64118;Central;TEC-AC-10002399;Technology;Accessories;SanDisk Cruzer 32 GB USB Flash Drive;3804;2;0;121728
513;CA-2019-106341;15/08/2020;18/08/2020;Express;LF-17185;Luke Foster;Consumer;United States;Newark;Ohio;43055;East;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;7152;3;2;7152
523;CA-2020-145142;18/11/2020;20/11/2020;Express;MC-17605;Matt Connell;Corporate;United States;Detroit;Michigan;48234;Central;FUR-TA-10001857;Furniture;Tables;Balt Solid Wood Rectangular Table;21098;2;0;21098
524;US-2019-139486;16/03/2020;18/03/2020;Express;LH-17155;Logan Haushalter;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10003555;Technology;Phones;Motorola HK250 Universal Bluetooth Headset;55176;3;2;-124146
525;US-2019-139486;16/03/2020;18/03/2020;Express;LH-17155;Logan Haushalter;Consumer;United States;Los Angeles;California;90032;West;TEC-AC-10003832;Technology;Accessories;Imation˜16GB Mini TravelDrive USB 2.0˜Flash Drive;6626;2;0;271666
541;CA-2017-140795;28/11/2017;30/11/2017;Express;BD-11500;Bradley Drucker;Consumer;United States;Green Bay;Wisconsin;54302;Central;TEC-AC-10001432;Technology;Accessories;Enermax Aurora Lite Keyboard;4689;6;0;206316
542;CA-2019-136924;09/05/2020;12/05/2020;Express;ES-14080;Erin Smith;Corporate;United States;Tucson;Arizona;85705;West;TEC-PH-10002262;Technology;Phones;LG Electronics Tone+ HBS-730 Bluetooth Headset;380864;8;2;380864
547;CA-2020-162929;15/09/2021;18/09/2021;Express;AS-10135;Adrian Shami;Home Office;United States;New York City;New York;10035;East;OFF-BI-10000404;Office Supplies;Binders;Avery Printable Repositionable Plastic Tabs;4128;6;2;13932
548;CA-2020-162929;15/09/2021;18/09/2021;Express;AS-10135;Adrian Shami;Home Office;United States;New York City;New York;10035;East;OFF-PA-10002986;Office Supplies;Paper;Xerox 1898;1336;2;0;64128
553;CA-2020-112774;08/07/2021;09/07/2021;Express;RC-19960;Ryan Crowe;Consumer;United States;Jacksonville;Florida;32216;South;FUR-FU-10003039;Furniture;Furnishings;"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock";34504;1;2;60382
564;CA-2018-130736;03/10/2019;05/10/2019;Express;JF-15490;Jeremy Farry;Consumer;United States;Seattle;Washington;98105;West;OFF-FA-10003467;Office Supplies;Fasteners;Alliance Big Bands Rubber Bands, 12/Pack;396;2;0;0
565;CA-2018-130736;03/10/2019;05/10/2019;Express;JF-15490;Jeremy Farry;Consumer;United States;Seattle;Washington;98105;West;OFF-LA-10000634;Office Supplies;Labels;Avery 509;261;1;0;12006
566;CA-2020-137099;03/10/2021;06/10/2021;Express;FP-14320;Frank Preis;Consumer;United States;Los Angeles;California;90008;West;TEC-PH-10002496;Technology;Phones;Cisco SPA301;374376;3;2;46797
599;CA-2019-120180;09/05/2020;11/05/2020;Express;TP-21130;Theone Pippenger;Consumer;United States;Philadelphia;Pennsylvania;19134;East;OFF-SU-10004115;Office Supplies;Supplies;Acme Stainless Steel Office Snips;11632;2;2;10178
611;CA-2019-161816;22/02/2020;25/02/2020;Express;NB-18655;Nona Balk;Corporate;United States;Dallas;Texas;75217;Central;TEC-PH-10003012;Technology;Phones;Nortel Meridian M3904 Professional Digital phone;369576;3;2;415773
612;CA-2019-161816;22/02/2020;25/02/2020;Express;NB-18655;Nona Balk;Corporate;United States;Dallas;Texas;75217;Central;OFF-LA-10004345;Office Supplies;Labels;Avery 493;15712;4;2;56956
669;CA-2017-156314;20/10/2018;22/10/2018;Express;RP-19390;Resi P?lking;Consumer;United States;Cleveland;Ohio;44105;East;FUR-FU-10003096;Furniture;Furnishings;Master Giant Foot Doorstop, Safety Yellow;3036;5;2;87285
674;CA-2020-130351;01/10/2021;04/10/2021;Express;RB-19570;Rob Beeghly;Consumer;United States;Columbus;Indiana;47201;Central;OFF-AP-10004532;Office Supplies;Appliances;Kensington 6 Outlet Guardian Standard Surge Protector;6144;3;0;165888
675;CA-2020-130351;01/10/2021;04/10/2021;Express;RB-19570;Rob Beeghly;Consumer;United States;Columbus;Indiana;47201;Central;OFF-PA-10002137;Office Supplies;Paper;Southworth 100% R?sum? Paper, 24lb.;389;5;0;17505
676;CA-2020-130351;01/10/2021;04/10/2021;Express;RB-19570;Rob Beeghly;Consumer;United States;Columbus;Indiana;47201;Central;TEC-AC-10003832;Technology;Accessories;Imation˜16GB Mini TravelDrive USB 2.0˜Flash Drive;9939;3;0;407499
686;CA-2017-157784;01/05/2018;04/05/2018;Express;MC-17845;Michael Chen;Consumer;United States;Jackson;Mississippi;39212;South;TEC-AC-10003911;Technology;Accessories;NETGEAR AC1750 Dual Band Gigabit˜Smart WiFi Router;47997;3;0;1631898
687;CA-2017-157784;01/05/2018;04/05/2018;Express;MC-17845;Michael Chen;Consumer;United States;Jackson;Mississippi;39212;South;OFF-LA-10001934;Office Supplies;Labels;Avery 516;1462;2;0;68714
688;CA-2017-157784;01/05/2018;04/05/2018;Express;MC-17845;Michael Chen;Consumer;United States;Jackson;Mississippi;39212;South;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;1944;3;0;93312
695;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-AR-10003373;Office Supplies;Art;Boston School Pro Electric Pencil Sharpener, 1670;198272;8;2;173488
696;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-LA-10002312;Office Supplies;Labels;Avery 490;4736;4;2;1776
697;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200984;7;2;628075
698;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-LA-10003510;Office Supplies;Labels;Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;97696;4;2;317512
699;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-AR-10001118;Office Supplies;Art;Binney & Smith Crayola Metallic Crayons, 16-Color Pack;2696;1;2;8088
700;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-BI-10001575;Office Supplies;Binders;GBC Linen Binding Covers;18588;2;7;-136312
701;CA-2018-119291;10/03/2019;13/03/2019;Express;JO-15550;Jesus Ocampo;Home Office;United States;Chester;Pennsylvania;19013;East;OFF-BI-10001982;Office Supplies;Binders;Wilson Jones Custom Binder Spines & Labels;4896;3;7;-34272
